apple: яблоко, яблоня, яблочный
banana: банан, банановый, банановое дерево
car: автомобиль, машина, автомобильный
house: дом, жилище, здание
cat: кошка, кот, кошачий
dog: собака, пес, собачий
book: книга, книжка, тетрадь
computer: компьютер, пк, электронный мозг
tree: дерево, деревце, древо
pen: ручка, письменные принадлежности, стилос
table: стол, таблица, переговоры
chair: стул, кресло, сиденье
phone: телефон, мобильник, сотовый
water: вода, жидкость, акватория
sky: небо, воздух, атмосфера
sun: солнце, сияние, солнечный
moon: луна, спутник, лунный
star: звезда, звездочка, звездный
flower: цветок, блум, растение
road: дорога, путь, трасса
river: река, поток, ручей
mountain: гора, хребет, высокогорье
cloud: облако, туча, облачный
rain: дождь, ливень, проливной дождь
snow: снег, пушистый снег, снежок
